,id,proba,label
3405,1235,7.2440223693847665,0
7288,1236,-6.397514343261719,0
6016,1243,-8.591587066650389,0
7653,1245,-6.9175071716308585,0
8295,1247,8.286321640014647,0
3519,1256,7.621265411376952,0
7276,1258,8.261466026306152,0
3780,1264,-8.694910049438478,0
5713,1269,6.433165550231934,0
1264,1274,-8.220333099365233,0
1019,1275,-8.330458641052246,0
3243,1276,-7.697635173797607,0
1734,1293,-8.347711563110353,0
2733,1295,7.051508903503418,0
2190,1327,-8.326872825622559,0
6771,1329,-8.085137367248535,0
6950,1349,8.05076789855957,0
2771,1379,-7.353898525238037,0
7403,1382,-5.034688949584961,0
347,1389,-8.544858932495117,0
490,1392,-8.149916648864746,0
5836,1395,4.825597286224365,0
5171,1423,-7.799994945526122,0
8230,1436,8.276832580566406,0
7624,1439,-8.739550590515138,0
4953,1452,-8.125743865966799,0
5774,1465,-0.09568313509225844,0
5246,1467,-6.608093738555907,0
998,1468,-7.124477863311768,0
3158,1469,5.882699966430664,0
5122,1472,-7.759793758392334,0
778,1475,8.608100891113281,0
7656,1476,-8.238460540771483,0
4328,1483,-8.238748550415039,0
3542,1487,8.331412315368652,0
610,1492,-6.825005531311035,0
3709,1497,4.427659034729004,0
5393,1498,-7.854724884033202,0
495,1524,-7.20164966583252,0
655,1526,-7.784395694732666,0
6729,1527,-8.046850204467772,0
6791,1529,-7.625416755676269,0
4187,1546,8.525064468383789,0
8159,1547,-7.738541126251222,0
8270,1548,-7.9427452087402335,0
7975,1564,-8.14042854309082,0
1667,1568,7.7275447845458975,0
38,1569,-7.076943397521973,0
1951,1576,-8.278346061706543,0
2272,1578,7.189371109008789,0
6990,1579,5.412177085876465,0
2852,1589,7.613046169281006,0
2576,1598,-7.831886768341064,0
2833,1637,-7.741219520568848,0
989,1642,7.303147315979004,0
6660,1643,7.605120658874513,0
8393,1649,7.706414222717285,0
3767,1653,1.548452854156494,0
521,1658,-7.7491703033447275,0
4231,1672,-7.768727302551269,0
2910,1682,4.6441922187805185,0
3632,1694,-7.864500045776367,0
5365,1698,-7.234217643737793,0
6592,1734,-7.930419921875,0
5235,1736,-8.710657119750978,0
5482,1743,-8.982393264770508,0
5414,1746,-7.6940555572509775,0
1114,1749,-8.39848804473877,0
6493,1756,-7.850912570953369,0
8292,1763,-7.330687046051025,0
8506,1768,-8.183073043823242,0
1059,1793,7.917878150939941,0
8171,1794,-8.115503311157228,0
4331,1823,-7.2559757232666025,0
7316,1827,-8.308821678161621,0
3037,1829,-3.72965407371521,0
6232,1835,-8.195137023925781,0
