,id,proba,label
3405,1235,-0.0006516240537166594,1
7288,1236,-8.285894393920897,0
6016,1243,-6.831528663635254,0
7653,1245,-0.3903529047966003,1
8295,1247,-0.0031374299433082338,1
3519,1256,-0.000603493710514158,1
7276,1258,-0.0008411445305682719,1
3780,1264,-8.920207977294922,0
5713,1269,-0.001586013357155025,1
1264,1274,-6.811282634735107,0
1019,1275,-6.202126979827881,0
3243,1276,-7.350218772888184,0
1734,1293,-8.374813079833983,0
2733,1295,-0.0025845714844763283,1
2190,1327,-7.787487983703612,0
6771,1329,-8.427153587341309,0
6950,1349,-0.01624736562371254,1
2771,1379,-7.8019700050354,0
7403,1382,-6.632981300354004,0
347,1389,-8.267502784729004,0
490,1392,-7.8547730445861825,0
5836,1395,-0.021621115505695343,1
5171,1423,-8.572407722473145,0
8230,1436,-0.0004405005020089448,1
7624,1439,-8.965892791748047,0
4953,1452,-8.466121673583983,0
5774,1465,-6.107784748077393,0
5246,1467,-0.002145728562027216,1
998,1468,-6.1885337829589835,0
3158,1469,-0.0005183068569749594,1
5122,1472,-7.555901527404785,0
778,1475,-0.0006140968762338161,1
7656,1476,-7.701703071594237,0
4328,1483,-7.126566886901856,0
3542,1487,-0.0005911033367738128,1
610,1492,-7.59739875793457,0
3709,1497,-0.004503228235989809,1
5393,1498,-3.3343734741210938,0
495,1524,-7.734800815582275,0
655,1526,-8.200888633728027,0
6729,1527,-7.4136061668396,0
6791,1529,-8.340560913085938,0
4187,1546,-0.0005192600074224174,1
8159,1547,-6.839229106903076,0
8270,1548,-2.5975542068481445,0
7975,1564,-8.04396915435791,0
1667,1568,-0.0007739647408016026,1
38,1569,-7.205543041229247,0
1951,1576,-6.887310981750487,0
2272,1578,-0.0005999195855110884,1
6990,1579,-0.4847953915596008,1
2852,1589,-0.0011787617113441227,1
2576,1598,-0.6397163271903992,1
2833,1637,-5.421107292175293,0
989,1642,-0.002763858996331692,1
6660,1643,-0.004384547472000122,1
8393,1649,-0.0008917645900510252,1
3767,1653,-0.03570390120148659,1
521,1658,-7.7060699462890625,0
4231,1672,-7.318485736846924,0
2910,1682,-0.000514851592015475,1
3632,1694,-7.835419654846191,0
5365,1698,-6.27195405960083,0
6592,1734,-6.716111183166504,0
5235,1736,-7.253004550933838,0
5482,1743,-8.01325511932373,0
5414,1746,-7.2754154205322275,0
1114,1749,-7.5084190368652335,0
6493,1756,-7.943552494049072,0
8292,1763,-7.37984561920166,0
8504,1768,-7.998106479644775,0
1059,1793,-0.0006409021443687379,1
8171,1794,-6.95994758605957,0
4331,1823,-1.095768928527832,0
7316,1827,-7.242415904998778,0
3037,1829,-0.0025744650047272444,1
6232,1835,-6.458619117736816,0
1376,1842,-8.729747772216799,0
101,1845,-1.4219030141830444,0
5144,1854,-7.340609550476074,0
2203,1875,-6.380573272705077,0
6560,1892,-8.40428352355957,0
7856,1894,-6.957823753356934,0
359,1896,-1.2498390674591064,0
4822,1924,-0.0037580358330160384,1
5626,1943,-3.4337306022644043,0
8282,1953,-0.0007487116381525992,1
8250,1954,-8.352715492248535,0
5762,1956,-7.966331958770753,0
6914,1962,-7.636744499206543,0
8188,1972,-8.810068130493164,0
1367,1974,-6.892568588256836,0
4764,1975,-0.0005024601123295723,1
317,2139,-7.72214937210083,0
20,2146,-7.625793933868407,0
6926,2153,-7.411850452423097,0
6742,2156,-7.7843565940856925,0
4542,2158,-0.0010755236726254225,1
5026,2165,-0.0003715063503477722,1
4753,2168,-7.119464874267577,0
7817,2169,-0.0021841498091816898,1
3911,2185,-4.647263526916504,0
2629,2194,-7.332779884338379,0
3052,2315,-8.186922073364258,0
5537,2316,-7.386989116668701,0
2836,2317,-0.000734297966118902,1
8216,2351,-0.0004329936055000872,1
6360,2358,-0.0009087961516343057,1
8112,2365,-8.471366882324219,0
8197,2367,-6.76509952545166,0
7191,2371,-0.0017738097812980413,1
5902,2374,-0.007370660081505774,1
5725,2381,-0.0005032941699028015,1
4827,2384,-6.645026206970215,0
2725,2385,-7.599556922912598,0
7672,2389,-0.0007920703501440585,1
2136,2413,-4.401308536529541,0
3036,2431,-0.0022292304784059525,1
5980,2435,-0.0008479336975142361,1
3802,2439,-6.1621623039245605,0
4740,2456,-7.999256134033202,0
1396,2457,-0.0014518683310598135,1
2611,2459,-7.465043544769287,0
4665,2461,-8.067525863647461,0
1959,2467,-6.419291019439697,0
5228,2471,-7.713736534118652,0
2755,2475,-7.3368892669677725,0
75,2476,-7.02228307723999,0
8170,2481,-0.0005285535007715224,1
7255,2483,-7.565117359161378,0
236,2485,-6.3004212379455575,0
59,2497,-7.618002414703369,0
692,2519,-7.802671432495117,0
5336,2536,-6.93425989151001,0
6628,2537,-7.310405254364014,0
5750,2538,-6.490470886230469,0
5939,2543,-7.855161666870117,0
1706,2548,-8.882268905639648,0
5298,2561,-0.0005457103834487498,1
2691,2571,-8.069219589233397,0
6609,2576,-8.191551208496094,0
3893,2581,-0.0014062763657420876,1
8561,2593,-7.823840618133545,0
2800,2594,-0.006822268944233656,1
5963,2613,-6.635045528411865,0
6551,2614,-5.385042667388916,0
3413,2631,-8.083091735839844,0
6871,2647,-4.90574312210083,0
3072,2653,-0.00184841884765774,1
6118,2654,-8.159189224243164,0
5224,2657,-1.9901262521743772,0
3575,2674,-0.0008526980527676643,1
8073,2687,-7.383257865905763,0
214,2691,-7.393183708190918,0
7151,2716,-7.775523662567139,0
2872,2718,-6.256174087524414,0
7258,2719,-0.004601959604769945,1
6370,2735,-5.785256862640381,0
2701,2761,-8.654229164123535,0
2986,2763,-6.984110832214356,0
4282,2764,-7.068033218383789,0
7575,2768,-0.0011241076281294227,1
899,2769,-6.5376625061035165,0
2790,2793,-0.04785519465804099,1
1073,2795,-7.281968593597412,0
5194,2814,-0.1125071942806244,1
8357,2815,-0.0005974177038297057,1
5647,2816,-0.0005765683017671107,1
6532,2831,-0.0006456674309447408,1
805,2841,-8.563434600830076,0
7129,2845,-7.437150001525879,0
380,2849,-0.0013835391728207471,1
7168,2853,-0.0005830018781125546,1
3735,2854,-0.0007649118197150527,1
5596,2857,-0.00093356886645779,1
8401,2863,-0.001279846066609025,1
7389,2867,-6.466041088104247,0
3305,2876,-0.0006118332967162133,1
6032,2891,-0.0020810156129300594,1
4344,2894,-7.553848743438722,0
6345,2914,-6.424725532531737,0
1443,2917,-0.0007141662063077093,1
3082,2918,-8.027454376220701,0
1945,2935,-7.7894110679626465,0
3346,2943,-4.869696140289307,0
1450,2945,-5.161801338195801,0
6237,2946,-0.0009197533945553004,1
980,2947,-8.345316886901855,0
7185,2951,-7.761279582977295,0
2666,2956,-6.185520648956299,0
5557,2958,-7.284546375274657,0
2475,2965,-0.0016332633094862106,1
6290,2967,-0.0010704031446948647,1
1305,2971,-0.0005197366117499769,1
8,2973,-8.232266426086426,0
5098,2974,-0.05550692230463028,1
5590,2975,-8.619593620300293,0
2235,2983,-2.1414451599121094,0
7698,2984,-3.4865095615386963,0
1319,2987,-4.936215877532959,0
1753,3124,-0.0030183494091033936,1
6936,3128,-0.0007120219524949789,1
2965,3145,-0.001453415839932859,1
8265,3148,-0.00559644540771842,1
1142,3162,-8.139187812805176,0
6872,3172,-6.350493907928468,0
2430,3178,-0.0004981707315891981,1
8326,3185,-0.0005821678787469863,1
6595,3186,-0.03004648722708225,1
738,3187,-6.5901737213134775,0
5651,3189,-8.086407661437987,0
305,3241,-5.103793144226074,0
332,3246,-3.7267122268676762,0
6274,3248,-7.789051055908202,0
426,3251,-6.715884685516357,0
3860,3254,-0.0014543681172654033,1
7436,3256,-7.1901164054870605,0
3559,3257,-0.0016809870721772313,1
154,3258,-0.0007273888913914561,1
1574,3268,-6.6110877990722665,0
124,3271,-6.057486057281494,0
6482,3275,-3.3184599876403813,0
8278,3276,-8.347360610961914,0
6388,3279,-6.994072437286378,0
7933,3281,-8.128087043762207,0
7581,3285,-7.551880836486816,0
4751,3289,-0.0010712367948144674,1
4468,3291,-0.012942949309945108,1
1573,3296,-1.6215859651565552,0
715,3298,-6.496682167053223,0
1664,3418,-5.034144878387451,0
8147,3421,-0.0003853293892461807,1
3065,3429,-6.23569917678833,0
7062,3468,-7.718934059143066,0
3915,3472,-0.001935396110638976,1
4553,3479,-0.03911177814006805,1
6818,3482,-7.550771236419678,0
5435,3495,-8.995030403137207,0
3021,3528,-7.0471510887146,0
4387,3547,-6.727360725402832,0
739,3574,-8.801679611206055,0
8436,3591,-0.001833664020523429,1
8512,3594,-6.321647644042969,0
1520,3615,-4.3956618309021005,0
4559,3629,-7.739567279815674,0
8140,3642,-8.266261100769043,0
5604,3659,-6.9639549255371085,0
5978,3675,-6.431690692901611,0
7820,3678,-7.568222045898437,0
2028,3681,-7.1312313079833975,0
484,3685,-8.375555038452147,0
7152,3691,-7.041959762573242,0
5986,3715,-5.372464656829834,0
3549,3718,-4.25108814239502,0
4730,3728,-6.152155876159668,0
6601,3751,-6.774671077728272,0
5764,3756,-0.0007082099909894168,1
1444,3759,-7.807034015655518,0
8439,3764,-0.0003989139222539961,1
5721,3789,-0.0030110995285213,1
6049,3794,-0.0008434075862169267,1
2287,3795,-8.182039260864258,0
5962,3841,-0.001374491723254323,1
1627,3845,-0.026153551414608955,1
7714,3847,-8.295841217041017,0
5715,3849,-7.732424736022949,0
2330,3854,-0.0006270825979299843,1
3420,3861,-7.9318909645080575,0
6556,3864,-0.1919821947813034,1
7818,3865,-7.9758501052856445,0
2172,3871,-7.2781333923339835,0
6448,3874,-0.34656497836112976,1
6728,3875,-8.516561508178711,0
5843,3896,-0.0003887851198669523,1
4441,3917,-7.66953706741333,0
1048,3927,-0.0034027553629130125,1
8535,3928,-7.916684627532959,0
5306,3942,-5.945355415344237,0
6961,3947,-0.000612071540672332,1
638,3957,-7.859122276306152,0
6951,3962,-7.445789813995361,0
824,3971,-6.936354160308838,0
4302,3981,-7.247757911682129,0
2612,3984,-6.286601543426514,0
2814,4125,-8.148138999938965,0
5084,4126,-0.044567905366420746,1
3289,4132,-7.5795674324035645,0
8191,4138,-0.0004480073403101414,1
4142,4152,-6.734555721282959,0
5423,4153,-6.120741844177246,0
6838,4156,-8.873512268066406,0
2756,4157,-5.41775369644165,0
564,4162,-7.2640323638916025,0
8210,4163,-0.004296002443879843,1
292,4175,-0.0009862087899819016,1
2869,4183,-7.210935115814209,0
2894,4185,-8.05180549621582,0
2067,4187,-7.815226078033447,0
3629,4217,-7.2890868186950675,0
481,4253,-6.046465873718263,0
7748,4256,-0.5151250958442688,1
7256,4257,-7.886868476867676,0
366,4263,-0.0037874884437769647,1
6571,4267,-0.08770845085382463,1
8424,4268,-0.0008928364841267467,1
4728,4273,-7.726476192474365,0
322,4278,-8.410593032836914,0
2382,4281,-5.108830451965332,0
2163,4287,-0.0009439303539693356,1
5658,4295,-6.694981575012207,0
519,4296,-6.953598976135254,0
7676,4316,-7.327007293701173,0
4815,4321,-7.487265110015869,0
561,4325,-8.027030944824219,0
503,4326,-0.001680630026385188,1
6368,4328,-0.0008630603551864624,1
1467,4356,-0.038344677537679665,1
6692,4361,-0.0008798541966825725,1
5751,4372,-7.320296764373778,0
4925,4379,-7.320446491241455,0
6555,4387,-7.351265430450439,0
8379,4397,-0.0010222929995507002,1
8391,4529,-0.0007022537174634634,1
473,4568,-6.644601821899414,0
7697,4579,-0.0005959880072623491,1
1192,4591,-6.051218509674072,0
4297,4597,-5.841024398803711,0
1295,4619,-0.0006372089846991003,1
4893,4623,-0.10793709754943848,1
5220,4629,-4.073761940002441,0
4862,4637,-7.156462669372559,0
2715,4639,-5.185263633728027,0
429,4651,-8.382622718811035,0
7421,4658,-0.00041273658280260866,1
6808,4675,-8.157769203186035,0
8196,4682,-6.036153793334961,0
222,4683,-7.285984992980957,0
5649,4689,-2.851069450378418,0
1068,4695,-7.68087100982666,0
6244,4712,-7.44459342956543,0
