,id,proba,label
3405,1235,-0.0006437613046728076,1
7288,1236,-7.495150566101074,0
6016,1243,-6.9145097732543945,0
7653,1245,-6.508455753326416,0
8295,1247,-0.0009282094542868435,1
3519,1256,-0.0007482351502403617,1
7276,1258,-0.00021836756786797198,1
3780,1264,-7.869121551513673,0
5713,1269,-0.00022039368923287841,1
1264,1274,-5.69716215133667,0
1019,1275,-6.065329074859619,0
3243,1276,-7.202558517456055,0
1734,1293,-7.305115699768066,0
2733,1295,-0.00028379703871905804,1
2190,1327,-4.1533565521240225,0
6771,1329,-7.220019817352295,0
6950,1349,-0.0015304292319342494,1
2771,1379,-7.2492756843566895,0
7403,1382,-6.237672328948975,0
347,1389,-7.131833076477051,0
490,1392,-6.3942155838012695,0
5836,1395,-0.002988042077049613,1
5171,1423,-7.334858417510986,0
8230,1436,-0.00030250742565840483,1
7624,1439,-7.676622867584228,0
4953,1452,-7.776463985443115,0
5774,1465,-1.1105189323425293,0
5246,1467,-0.0009398810216225684,1
998,1468,-5.918133735656737,0
3158,1469,-0.00011252723925281316,1
5122,1472,-6.451491832733153,0
778,1475,-0.0002138386043952778,1
7656,1476,-7.0988807678222665,0
4328,1483,-6.926112174987793,0
3542,1487,-0.00021050144277978688,1
610,1492,-6.837576389312744,0
3709,1497,-0.0016120783984661102,1
5393,1498,-6.38735294342041,0
495,1524,-4.5068464279174805,0
655,1526,-4.95515251159668,0
6729,1527,-6.083708763122559,0
6791,1529,-6.858780860900879,0
4187,1546,-0.00020704510097857565,1
8159,1547,-6.051414012908936,0
8270,1548,-5.579062461853027,0
7975,1564,-7.177135944366455,0
1667,1568,-0.0013306819600984454,1
38,1569,-5.261136054992676,0
1951,1576,-6.2345709800720215,0
2272,1578,-0.0009748950251378119,1
6990,1579,-0.0011680454481393099,1
2852,1589,-0.0007344171172007918,1
2576,1598,-0.0007270314963534473,1
2833,1637,-6.590296745300293,0
989,1642,-0.0005782362422905862,1
6660,1643,-0.001462700543925166,1
8393,1649,-0.0008911690674722196,1
3767,1653,-6.147322177886963,0
521,1658,-7.181072235107423,0
4231,1672,-4.7917656898498535,0
2910,1682,-0.00016807096835691482,1
3632,1694,-4.701150417327881,0
5365,1698,-4.859788417816162,0
6592,1734,-6.7878828048706055,0
5235,1736,-6.667358875274657,0
5482,1743,-7.408231735229492,0
5414,1746,-7.490296840667725,0
1114,1749,-6.662773609161378,0
6493,1756,-7.3697571754455575,0
8292,1763,-7.433436870574951,0
8504,1768,-7.698770999908447,0
1059,1793,-0.0001941730733960867,1
8171,1794,-6.105049133300781,0
4331,1823,-6.2997002601623535,0
7316,1827,-7.046268939971924,0
3037,1829,-6.080035209655763,0
6232,1835,-4.3079004287719735,0
1376,1842,-7.5661821365356445,0
101,1845,-6.299255847930907,0
5144,1854,-6.5813965797424325,0
2203,1875,-5.675922393798827,0
6560,1892,-7.125336170196532,0
7856,1894,-6.08928108215332,0
359,1896,-5.659156799316406,0
4822,1924,-0.002695738337934017,1
5626,1943,-0.00142020417843014,1
8282,1953,-0.00020704510097857565,1
8250,1954,-1.6651488542556765,0
5762,1956,-7.467904090881348,0
6914,1962,-7.258906364440918,0
8188,1972,-7.537784099578857,0
1367,1974,-6.123678684234619,0
4764,1975,-0.001039679627865553,1
317,2139,-6.96579122543335,0
20,2146,-3.643579244613648,0
6926,2153,-7.074265480041504,0
6742,2156,-7.402597904205322,0
4542,2158,-0.0007177399238571526,1
5026,2165,-0.0002474478678777814,1
4753,2168,-6.91552209854126,0
7817,2169,-0.0004029654082842171,1
3911,2185,-6.034585952758789,0
2629,2194,-7.0208797454833975,0
3052,2315,-7.1070237159729,0
5537,2316,-6.7086615562438965,0
