,id,proba,label
3405,1235,-0.0002965351159218699,1
7288,1236,-9.565308888753254,0
6016,1243,-9.52275848388672,0
7653,1245,-9.25791517893473,0
8295,1247,-0.000289703173621092,1
3519,1256,-0.00027520318690221757,1
7276,1258,-0.0002598702994873747,1
3780,1264,-9.728018124898274,0
5713,1269,-0.0003034808372224992,1
1264,1274,-8.953746636708576,0
1019,1275,-9.023111979166666,0
3243,1276,-9.56693681081136,0
1734,1293,-9.442867279052734,0
2733,1295,-0.00030653765619111545,1
2190,1327,-7.919672648111979,0
6771,1329,-9.961121241251627,0
6950,1349,-0.0005031640563781061,1
2771,1379,-9.308736483256023,0
7403,1382,-9.339560190836588,0
347,1389,-9.202773412068684,0
490,1392,-8.954946835835774,0
5836,1395,-0.00045233520116501796,1
5171,1423,-9.59233061472575,0
8230,1436,-0.00024270442493919594,1
7624,1439,-9.65040683746338,0
4953,1452,-9.656357447306316,0
5774,1465,-8.70402717590332,0
5246,1467,-0.0003838803847126352,1
998,1468,-9.331764539082844,0
3158,1469,-0.0002282103584245003,1
5122,1472,-8.685492356618244,0
778,1475,-0.0002563316951030477,1
7656,1476,-9.158590316772461,0
4328,1483,-9.56636905670166,0
3542,1487,-0.00020648085167825533,1
610,1492,-9.027714093526203,0
3709,1497,-0.0004584648995660245,1
5393,1498,-8.450832843780518,0
495,1524,-9.25483226776123,0
655,1526,-8.820845603942871,0
6729,1527,-9.48515733083089,0
6791,1529,-9.185892105102539,0
4187,1546,-0.0003067805470588306,1
8159,1547,-8.879630088806152,0
8270,1548,-9.050840377807617,0
7975,1564,-9.605587323506672,0
1667,1568,-0.0003623238396054753,1
38,1569,-8.733935991923014,0
1951,1576,-8.694206555684406,0
2272,1578,-0.0005928177803677196,1
6990,1579,-0.0003616520261857658,1
2852,1589,-0.0002738157442460457,1
2576,1598,-6.678707997004191,0
2833,1637,-9.55093002319336,0
989,1642,-0.0005421314223591859,1
6660,1643,-0.00031534977460978547,1
8393,1649,-0.0002997469709953293,1
3767,1653,-9.078424135843912,0
521,1658,-9.2582581837972,0
4231,1672,-8.816452980041504,0
2910,1682,-0.00016663646359423484,1
3632,1694,-9.228491465250652,0
5365,1698,-8.039692878723145,0
6592,1734,-8.51729679107666,0
5235,1736,-8.605765342712402,0
5482,1743,-9.469042460123696,0
5414,1746,-9.359832763671877,0
1114,1749,-9.629439671834307,0
6493,1756,-9.627110481262207,0
8292,1763,-9.176047643025717,0
8504,1768,-9.872614542643227,0
1059,1793,-0.0005301401494458936,1
8171,1794,-9.186982154846193,0
4331,1823,-8.547743002573647,0
7316,1827,-9.493431409200033,0
3037,1829,-7.182161331176758,0
6232,1835,-9.332512219746908,0
1376,1842,-9.467786153157553,0
101,1845,-8.492762724558514,0
5144,1854,-8.906465848286945,0
2203,1875,-6.465313593546549,0
6560,1892,-9.785648981730144,0
7856,1894,-9.002923647562662,0
359,1896,-8.06758658091227,0
4822,1924,-0.0002879139380335497,1
5626,1943,-2.9533119522481384,1
8282,1953,-0.0002268972578652513,1
8250,1954,-9.519341786702473,0
5762,1956,-7.557169119517008,0
6914,1962,-9.089751879374186,0
8188,1972,-9.676519711812336,0
1367,1974,-9.282394727071127,0
4764,1975,-0.001934118374871711,1
317,2139,-9.300443331400553,0
20,2146,-8.896379152933756,0
6926,2153,-9.663326899210613,0
6742,2156,-9.0163844426473,0
4542,2158,-0.000285125048928118,1
5026,2165,-0.00018887994641166492,1
4753,2168,-9.79016399383545,0
7817,2169,-0.0005446700379252434,1
3911,2185,-5.876821457253149,0
2629,2194,-9.090709050496418,0
3052,2315,-9.85196844736735,0
5537,2316,-8.834187189737955,0
2836,2317,-0.00037312537703352666,1
8216,2351,-0.00030020925926995307,1
6360,2358,-0.00026123059797100723,1
8112,2365,-9.90205669403076,0
8197,2367,-9.573808670043944,0
7191,2371,-0.0006327824570083369,1
5902,2374,-5.161865540935347,1
5725,2381,-0.0003139279190994178,1
4827,2384,-9.52166430155436,0
2725,2385,-9.290471076965332,0
7672,2389,-0.0002635250057210214,1
2136,2413,-8.005972544352213,0
3036,2431,-0.00030712470591727953,1
5980,2435,-0.00043135601299582044,1
3802,2439,-9.454465548197428,0
4740,2456,-9.213929812113443,0
1396,2457,-0.0007621805101128606,1
2611,2459,-8.787875652313232,0
4665,2461,-9.331199645996094,0
1959,2467,-8.725401083628338,0
5228,2471,-9.34053579966227,0
2755,2475,-8.28930139541626,0
75,2476,-8.7730499903361,0
8170,2481,-0.00036179794369672885,1
7255,2483,-9.401242574055988,0
236,2485,-8.400746822357178,0
59,2497,-9.0831511815389,0
692,2519,-9.246103286743164,0
5336,2536,-9.118829727172852,0
6628,2537,-9.54580243428548,0
5750,2538,-9.26416269938151,0
5939,2543,-9.39699109395345,0
1706,2548,-9.74847157796224,0
5298,2561,-0.00020636478196441505,1
2691,2571,-9.796350479125977,0
6609,2576,-9.144592920939127,0
3893,2581,-0.0005556233688063609,1
8561,2593,-9.679927190144856,0
2800,2594,-0.0006414591819824027,1
5963,2613,-8.79699961344401,0
6551,2614,-5.495929981426647,0
3413,2631,-9.31312878926595,0
6871,2647,-1.8204563932182891,0
3072,2653,-0.0002942287731760492,1
6118,2654,-9.025040944417318,0
5224,2657,-0.001222572464030236,1
3575,2674,-0.0006465179394581353,1
8073,2687,-9.256053924560547,0
214,2691,-9.154500643412273,0
7151,2716,-9.264239311218262,0
2872,2718,-9.293889681498207,0
7258,2719,-0.0007104628554467732,1
6370,2735,-8.561495780944824,0
2701,2761,-9.73800214131673,0
2986,2763,-8.742679278055826,0
4282,2764,-9.905842463175457,0
7575,2768,-0.0003189357715503623,1
899,2769,-9.209009170532227,0
2790,2793,-8.572026888529457,0
1073,2795,-9.225619316101074,0
5194,2814,-0.0002116104781938096,1
8357,2815,-0.0002610551067239915,1
5647,2816,-0.0004625445241496587,1
6532,2831,-0.00023925763040703407,1
805,2841,-9.429457982381184,0
7129,2845,-9.164074579874676,0
