,id,proba,label
3405,1235,-0.00027700403006747365,1
7288,1236,-9.603957176208496,0
6016,1243,-9.592225074768066,0
7653,1245,-8.729916572570799,0
8295,1247,-0.0004240567213855684,1
3519,1256,-0.0002733095607254654,1
7276,1258,-0.00029476112104021013,1
3780,1264,-9.791630744934082,0
5713,1269,-0.00030477170366793866,1
1264,1274,-9.52365493774414,0
1019,1275,-9.677227020263672,0
3243,1276,-9.674077033996582,0
1734,1293,-9.487195014953613,0
2733,1295,-0.00028046013903804123,1
2190,1327,-6.975638389587402,0
6771,1329,-9.835506439208984,0
6950,1349,-0.0008861667010933162,1
2771,1379,-9.353429794311523,0
7403,1382,-9.671435356140137,0
347,1389,-9.061708450317383,0
490,1392,-9.132829666137695,0
5836,1395,-0.0007568117580376565,1
5171,1423,-9.629805564880373,0
8230,1436,-0.0002146728802472353,1
7624,1439,-9.47641372680664,0
4953,1452,-9.675294876098633,0
5774,1465,-9.064545631408693,0
5246,1467,-0.0004537268250714988,1
998,1468,-9.3179931640625,0
3158,1469,-0.0003244350373279304,1
5122,1472,-9.558895111083984,0
778,1475,-0.00029416524921543896,1
7656,1476,-9.291048049926758,0
4328,1483,-9.502910614013672,0
3542,1487,-0.0001989405136555433,1
610,1492,-9.006831169128418,0
3709,1497,-0.0006114759016782045,1
5393,1498,-7.5265135765075675,0
495,1524,-9.598150253295898,0
655,1526,-9.140314102172852,0
6729,1527,-9.486949920654297,0
6791,1529,-9.256648063659668,0
4187,1546,-0.0003843760641757399,1
8159,1547,-9.251226425170898,0
8270,1548,-9.787394523620604,0
7975,1564,-9.69720458984375,0
1667,1568,-0.0002952378126792609,1
38,1569,-8.657395362854004,0
1951,1576,-8.58792781829834,0
2272,1578,-0.0011092231143265963,1
6990,1579,-0.000301673193462193,1
2852,1589,-0.00037126801908016205,1
2576,1598,-8.726753234863281,0
2833,1637,-9.528890609741213,0
989,1642,-0.00040701689431443816,1
6660,1643,-0.00023576818057335919,1
8393,1649,-0.00026091508334502583,1
3767,1653,-9.13063907623291,0
521,1658,-9.109430313110352,0
4231,1672,-9.024346351623537,0
2910,1682,-0.0001892864383989945,1
3632,1694,-9.749444007873537,0
5365,1698,-9.331825256347656,0
6592,1734,-9.04437255859375,0
5235,1736,-8.956982612609863,0
5482,1743,-9.575997352600098,0
5414,1746,-9.153291702270508,0
1114,1749,-9.771238327026367,0
6493,1756,-9.710908889770508,0
8292,1763,-9.378984451293944,0
8504,1768,-9.952524185180664,0
