,id,proba,label
3405,1235,-0.00011967896716669202,1
7288,1236,-9.172313690185547,0
6016,1243,-9.765003204345703,0
7653,1245,-1.200448751449585,0
8295,1247,-5.125986263010418e-06,1
3519,1256,-2.0622994270524938e-05,1
7276,1258,-4.768370445162872e-07,1
3780,1264,-10.225339889526367,0
5713,1269,-1.2278481335670223e-05,1
1264,1274,-3.6695265769958496,0
1019,1275,-5.358765602111816,0
3243,1276,-7.518156051635742,0
1734,1293,-8.303351402282715,0
2733,1295,-1.311301275563892e-06,1
2190,1327,-6.350696563720702,0
6771,1329,-7.150031566619872,0
6950,1349,-0.00040820849244482815,1
2771,1379,-7.38550329208374,0
7403,1382,-6.988126754760742,0
347,1389,-4.5352654457092285,0
490,1392,-6.103263378143311,0
5836,1395,-0.001110890181735158,1
5171,1423,-6.976133346557617,0
8230,1436,-1.907346813823096e-06,1
7624,1439,-7.972107887268066,0
4953,1452,-7.288248538970947,0
5774,1465,-5.820700645446777,0
5246,1467,-0.0008095800876617433,1
998,1468,-3.8196320533752437,0
3158,1469,0.0,1
5122,1472,-6.127219200134277,0
778,1475,-0.00035172473872080445,1
7656,1476,-7.279702186584473,0
4328,1483,-5.061814785003662,0
3542,1487,-2.264974000354414e-06,1
610,1492,-6.0726280212402335,0
3709,1497,-0.6830826997756958,1
5393,1498,-6.5787296295166025,0
495,1524,-2.3409197330474854,0
655,1526,-3.116364002227783,0
6729,1527,-5.428869724273682,0
6791,1529,-7.5434508323669425,0
4187,1546,-7.152555099310121e-07,1
8159,1547,-3.624079465866089,0
8270,1548,-1.803701400756836,0
7975,1564,-8.310523986816406,0
1667,1568,-0.01155363954603672,1
38,1569,-0.5663986802101135,1
1951,1576,-5.615411758422852,0
2272,1578,-0.00031430550734512513,1
6990,1579,-0.0016600412782281635,1
2852,1589,-7.152531907195225e-06,1
2576,1598,-1.5267902612686155,0
2833,1637,-5.187391757965088,0
989,1642,-9.417090768693016e-05,1
6660,1643,-1.1086402082582936e-05,1
8393,1649,-2.264974000354414e-06,1
3767,1653,-0.003330638399347663,1
521,1658,-5.568114280700684,0
4231,1672,-3.771835803985596,0
2910,1682,-1.5497087588300932e-05,1
3632,1694,-3.86769437789917,0
5365,1698,-4.29249906539917,0
6592,1734,-7.076009273529053,0
5235,1736,-7.032589435577393,0
5482,1743,-12.719320297241213,0
5414,1746,-7.0400447845458975,0
1114,1749,-5.778350830078125,0
6493,1756,-8.091615676879883,0
8292,1763,-5.224259376525879,0
8504,1768,-9.598855018615724,0
1059,1793,-2.0146166207268834e-05,1
8171,1794,-3.5299375057220463,0
4331,1823,-5.01549243927002,0
7316,1827,-10.782471656799316,0
3037,1829,-0.09784084558486937,1
6232,1835,-5.720320224761963,0
1376,1842,-11.637394905090332,0
101,1845,-0.1160971075296402,1
5144,1854,-4.673725605010986,0
2203,1875,-2.337984800338745,0
6560,1892,-10.517398834228516,0
7856,1894,-2.241473436355591,0
359,1896,-3.169955015182495,0
4822,1924,-0.00028200942324474454,1
5626,1943,-0.9858617782592772,0
8282,1953,-1.8000440832111053e-05,1
8250,1954,-5.317511558532715,0
5762,1956,-10.709691047668457,0
6914,1962,-5.418357849121094,0
8188,1972,-10.665541648864746,0
1367,1974,-4.528243064880371,0
4764,1975,-0.00031942987698130315,1
317,2139,-8.195374488830566,0
20,2146,-5.6506876945495605,0
6926,2153,-7.426864624023437,0
6742,2156,-7.113296031951903,0
4542,2158,-0.002409889828413725,1
5026,2165,-0.00036066226311959326,1
4753,2168,-9.397879600524902,0
7817,2169,-0.00014745102089364082,1
3911,2185,-2.4486980438232417,0
2629,2194,-5.481761932373047,0
3052,2315,-9.355629920959473,0
5537,2316,-5.530947685241699,0
2836,2317,-1.2278481335670223e-05,1
8216,2351,-0.017071794718503952,1
6360,2358,-0.00035160558763891464,1
8112,2365,-8.691225051879883,0
8197,2367,-7.9282169342041025,0
7191,2371,-0.009087393060326576,1
5902,2374,-0.6971217393875122,0
5725,2381,-7.760223525110632e-05,1
4827,2384,-3.327519416809082,0
2725,2385,-5.586195468902588,0
7672,2389,-2.7418097943154862e-06,1
2136,2413,-2.3950016498565674,0
3036,2431,-1.2755313036905134e-05,1
5980,2435,-0.0006992755807004869,1
3802,2439,-4.60996675491333,0
4740,2456,-6.4447431564331055,0
1396,2457,-0.004379087593406439,1
2611,2459,-4.9290289878845215,0
4665,2461,-7.099165916442871,0
1959,2467,-1.591031193733215,0
5228,2471,-6.2078003883361825,0
2755,2475,-4.6974406242370605,0
75,2476,-5.039846897125244,0
8170,2481,-0.0011549476766958833,1
7255,2483,-6.354410648345947,0
236,2485,-6.641489505767822,0
59,2497,-8.074773788452147,0
692,2519,-1.653215765953064,0
5336,2536,-4.376863956451416,0
6628,2537,-7.191609859466553,0
5750,2538,-7.7360801696777335,0
5939,2543,-6.103066444396973,0
1706,2548,-10.186436653137207,0
5298,2561,-0.0002531684876885265,1
2691,2571,-9.666828155517578,0
6609,2576,-11.66400146484375,0
3893,2581,-0.0004870897100772709,1
8561,2593,-6.250046730041504,0
2800,2594,-0.0034849646035581827,1
5963,2613,-3.6535413265228267,0
6551,2614,-5.390989303588867,0
3413,2631,-4.41256046295166,0
6871,2647,-0.3469807207584381,1
3072,2653,-0.028288679197430614,1
6118,2654,-5.929975509643555,0
5224,2657,-0.010300924070179462,1
3575,2674,-5.888765372219496e-05,1
8073,2687,-6.420758247375487,0
214,2691,-4.9008893966674805,0
7151,2716,-2.873601198196411,0
2872,2718,-5.104987621307373,0
7258,2719,-2.944426159956492e-05,1
6370,2735,-6.328709125518799,0
2701,2761,-8.212836265563965,0
2986,2763,-5.800050258636475,0
4282,2764,-7.13627290725708,0
7575,2768,-9.298280929215252e-06,1
899,2769,-5.394796848297119,0
2790,2793,-0.05115538462996483,1
1073,2795,-6.214313507080077,0
5194,2814,-2.529101848602295,0
8357,2815,-1.1920928244535387e-07,1
5647,2816,-0.022978577762842182,1
6532,2831,-2.2053474822314456e-05,1
805,2841,-7.811121940612793,0
7129,2845,-0.2423667758703232,1
380,2849,-0.0023611304350197315,1
7168,2853,-7.176141662057489e-05,1
3735,2854,-0.0001314792025368661,1
5596,2857,-2.622600959512056e-06,1
8401,2863,-5.483612312673358e-06,1
7389,2867,-5.175290107727051,0
3305,2876,-4.649151378544048e-06,1
6032,2891,-0.0004003438516519964,1
4344,2894,-3.7130417823791504,0
6345,2914,-5.052649021148682,0
1443,2917,-6.794906312279636e-06,1
3082,2918,-6.561660289764403,0
1945,2935,-5.920738697052003,0
3346,2943,-1.6243380308151243,0
1450,2945,-0.735680878162384,0
6237,2946,-0.928833544254303,0
980,2947,-9.261993408203123,0
7185,2951,-5.021298408508301,0
2666,2956,-5.818032741546631,0
5557,2958,-6.951474189758301,0
2475,2965,-0.029104750603437424,1
6290,2967,-0.08568469434976578,1
1305,2971,-2.384185506798531e-07,1
8,2973,-8.54045581817627,0
5098,2974,-4.774378299713135,0
5590,2975,-9.908113479614258,0
2235,2983,-3.0568177700042725,0
7698,2984,-5.676419258117676,0
1319,2987,-0.234614297747612,1
1753,3124,-0.7516563534736633,0
6936,3128,-0.0008990298374556006,1
2965,3145,-8.368142152903603e-05,1
8265,3148,-0.0008952185744419693,1
1142,3162,-9.6920166015625,0
6872,3172,-4.939445495605469,0
2430,3178,-0.007052646018564702,1
8326,3185,-8.4638240878121e-06,1
6595,3186,-2.1854734420776367,0
738,3187,-4.056365966796875,0
5651,3189,-7.825026512145996,0
305,3241,-3.9115810394287114,0
332,3246,-6.9331536293029785,0
6274,3248,-10.082967758178713,0
426,3251,-5.631699562072754,0
3860,3254,-4.4107341636845385e-06,1
7436,3256,-6.572301387786865,0
3559,3257,-1.084798623196548e-05,1
154,3258,-0.0156768299639225,1
1574,3268,-4.941734313964844,0
124,3271,-5.517815589904785,0
6482,3275,-4.0171828269958505,0
8278,3276,-9.622815132141113,0
6388,3279,-5.195666313171387,0
7933,3281,-7.578941345214844,0
7581,3285,-9.580442428588867,0
4751,3289,-1.6603437662124634,0
4468,3291,-0.009340870194137095,1
1573,3296,-5.286438465118408,0
715,3298,-3.9827821254730233,0
1664,3418,-5.507600784301758,0
8147,3421,-0.015181235037744044,1
3065,3429,-7.453556537628174,0
7062,3468,-9.11591339111328,0
3915,3472,-0.054017893970012665,1
4553,3479,-1.105304479598999,0
6818,3482,-5.730297088623048,0
5435,3495,-7.835004806518555,0
3021,3528,-3.552823543548584,0
4387,3547,-2.409353256225586,0
739,3574,-9.804919242858887,0
8436,3591,-0.0024770786985754967,1
8512,3594,-6.789822101593018,0
1520,3615,-3.4486401081085205,0
4559,3629,-9.657081604003906,0
8140,3642,-8.205114364624022,0
5604,3659,-6.867530822753906,0
5978,3675,-7.979428291320801,0
7820,3678,-3.067784786224365,0
2028,3681,-0.002481716452166438,1
484,3685,-6.977783203125,0
7152,3691,-5.85023832321167,0
5986,3715,-5.709495544433594,0
3549,3718,-2.341481685638428,0
4730,3728,-4.895570278167725,0
6601,3751,-6.034071445465088,0
5764,3756,-6.4372807173640476e-06,1
1444,3759,-11.93369197845459,0
8439,3764,-8.344646857949556e-07,1
5721,3789,-5.996047548251226e-05,1
6049,3794,-1.6689286894688846e-06,1
2287,3795,-8.938407897949219,0
5962,3841,-0.001784519525244832,1
1627,3845,-0.005911367479711771,1
7714,3847,-9.172313690185547,0
5715,3849,-8.936948776245117,0
2330,3854,-0.22458389401435846,1
3420,3861,-8.414917945861816,0
6556,3864,-0.05308083444833756,1
7818,3865,-1.4969972372055054,0
2172,3871,-9.416579246520996,0
6448,3874,-0.0003525589127093553,1
6728,3875,-9.154038429260254,0
5843,3896,-1.907346813823096e-06,1
4441,3917,-7.714859962463379,0
1048,3927,-0.0012486526975408194,1
8535,3928,-6.630003929138184,0
5306,3942,-2.1846816539764404,0
6961,3947,-0.032636232674121864,1
638,3957,-4.52715539932251,0
6951,3962,-5.66796350479126,0
824,3971,-3.550953865051269,0
4302,3981,-3.747382164001465,0
2612,3984,-3.53555679321289,0
2814,4125,-5.995384693145753,0
5084,4126,-0.005715456791222096,1
3289,4132,-6.5614070892333975,0
8191,4138,0.0,1
4142,4152,-6.957719802856445,0
5423,4153,-8.565053939819336,0
6838,4156,-8.648885726928711,0
2756,4157,-6.709630012512207,0
564,4162,-6.777407646179199,0
8210,4163,-0.0003106111544184387,1
292,4175,-0.0017162130679935215,1
2869,4183,-4.310153007507323,0
2894,4185,-7.4316749572753915,0
2067,4187,-8.173080444335938,0
3629,4217,-7.701496601104736,0
481,4253,-3.2688145637512207,0
7748,4256,-6.684115409851074,0
7256,4257,-11.108842849731444,0
366,4263,-0.00012516192509792745,1
6571,4267,-0.04028875008225441,1
8424,4268,-1.1920928244535387e-07,1
4728,4273,-4.766636371612549,0
322,4278,-7.424836158752441,0
2382,4281,-3.8974275588989262,0
2163,4287,-4.4107341636845385e-06,1
5658,4295,-4.537612915039063,0
519,4296,-6.233134746551514,0
7676,4316,-7.2061896324157715,0
4815,4321,-11.651900291442873,0
561,4325,-8.488626480102539,0
503,4326,-0.4010399878025055,1
6368,4328,-0.0528235100209713,1
1467,4356,-0.6151920557022095,1
6692,4361,-2.729855441430118e-05,1
5751,4372,-10.025208473205566,0
4925,4379,-7.3757057189941415,0
6555,4387,-8.4627685546875,0
8379,4397,0.0,1
8391,4529,-1.060957038134802e-05,1
473,4568,-3.9153566360473633,0
7697,4579,-7.986990567587782e-06,1
1192,4591,-5.0378379821777335,0
4297,4597,-7.255895137786865,0
1295,4619,-6.318072337307967e-06,1
4893,4623,-0.9418892860412598,0
5220,4629,-5.715848922729492,0
4862,4637,-3.4124355316162114,0
2715,4639,-6.777344703674316,0
429,4651,-9.04645824432373,0
7421,4658,-3.218645588276558e-06,1
6808,4675,-7.3998985290527335,0
8196,4682,-5.0872154235839835,0
222,4683,-8.155960083007812,0
5649,4689,-6.690779685974121,0
1068,4695,-8.135123252868652,0
6244,4712,-10.709078788757324,0
6889,4718,-3.501648426055908,0
1696,4719,-6.055498600006104,0
4238,4726,-2.1409831047058105,0
5606,4729,-6.533074378967285,0
5274,4732,-10.267854690551758,0
4089,4735,-6.568473815917969,0
7804,4758,-5.699130535125732,0
7790,4759,-7.716524124145508,0
1032,4762,-3.547982931137085,0
6061,4765,-0.0008734225411899388,1
3605,4768,-5.739927768707275,0
7718,4782,-7.291776180267334,0
2315,4783,-6.016757011413574,0
1462,4786,-1.1920928244535387e-07,1
3501,4791,-0.00023445718397852036,1
761,4798,-7.0864033699035645,0
6203,4813,-0.7931646108627319,0
8309,4819,-2.384185506798531e-07,1
202,4823,-6.531606197357178,0
1237,4827,-0.02783813513815403,1
2552,4859,-4.2915253288811064e-06,1
6718,4861,-2.502025365829468,0
2120,4863,-6.870121479034424,0
6494,4873,-0.003436613827943802,1
45,4876,-4.897748947143555,0
8173,4891,-8.262155532836914,0
1062,4892,-5.946023941040039,0
1252,4912,-0.002449371386319399,1
3680,4915,-5.7922468185424805,0
4225,4917,-8.006803512573242,0
1589,4918,-3.6954195820726454e-05,1
3596,4923,-7.899124145507812,0
2846,4926,-1.495705246925354,0
6096,4928,-0.00021133573318365959,1
3356,4938,-7.560440063476562,0
6116,4971,-5.604899883270264,0
5159,4975,-8.66798210144043,0
1312,4976,-6.817070484161378,0
1340,4986,-9.871265411376953,0
859,5123,-0.00013136000779923052,1
3384,5127,-0.0519249439239502,1
457,5129,-6.303187370300293,0
3176,5134,-4.280970096588135,0
3015,5138,-4.073875427246094,0
1521,5148,-3.576278118089249e-07,1
5911,5164,-0.009861205704510212,1
161,5172,-1.5258672647178173e-05,1
405,5183,-7.918282508850098,0
2285,5189,-4.170795917510986,0
3125,5198,-3.3626961708068848,0
1946,5214,-0.3115485608577728,1
6605,5231,-5.895766258239746,0
8006,5241,-0.24287258088588715,1
113,5249,-5.837737560272218,0
8317,5261,-0.33362579345703125,1
3076,5264,-2.622600959512056e-06,1
255,5269,-7.4798831939697275,0
5213,5273,-0.02206584066152573,1
5895,5276,-9.42262363433838,0
2982,5283,-10.71253490447998,0
7447,5294,-10.220576286315918,0
2517,5297,-3.1709168979432434e-05,1
5031,5327,-8.698234558105469,0
3700,5329,-0.00032336250296793883,1
4477,5362,-7.54727029800415,0
4917,5369,-3.5617382526397705,0
