,id,proba,label
3405,1235,-3.1164378936798886e-05,1
7288,1236,-8.901470427049093,0
6016,1243,-7.868962648164643,0
7653,1245,-3.7538151143895657,0
8295,1247,-0.0009494205572275,1
3519,1256,-0.0006861008443679774,1
7276,1258,-5.992969608935633e-08,1
3780,1264,-10.609104637756213,0
5713,1269,-6.657205178055486e-05,1
1264,1274,-4.81032380681181,0
1019,1275,-2.5415753854814693,0
3243,1276,-7.346485622767648,0
1734,1293,-6.854560661387168,0
2733,1295,-3.9738144483037484e-05,1
2190,1327,-6.183296947366944,0
6771,1329,-5.710913152138546,0
6950,1349,-0.006904368171086415,1
2771,1379,-7.036573393603182,0
7403,1382,-6.447769069340441,0
347,1389,-6.584875019294907,0
490,1392,-6.09320337686742,0
5836,1395,-0.030995510876288962,1
5171,1423,-7.743976882152588,0
8230,1436,-4.3808853664859225e-05,1
7624,1439,-8.285526237155182,0
4953,1452,-7.3957010087987385,0
5774,1465,-4.287493269847322,0
5246,1467,-0.0001757200900406303,1
998,1468,-1.895477581057452,0
3158,1469,0.0,1
5122,1472,-6.370927490957255,0
778,1475,-0.00033169370041531915,1
7656,1476,-7.0548306012876045,0
4328,1483,-4.4109944425647285,0
3542,1487,-1.1125450609537694e-06,1
610,1492,-7.136720191820931,0
3709,1497,-1.37784764802273,0
5393,1498,-5.863436736045972,0
495,1524,-3.5636311662187734,0
655,1526,-3.7857492369352106,0
6729,1527,-4.021992445035308,0
6791,1529,-8.62380444947776,0
4187,1546,-4.627751906653381e-07,1
8159,1547,-3.782187789707959,0
8270,1548,-0.24927826385855956,1
7975,1564,-9.242678747144929,0
1667,1568,-0.007989789889389809,1
38,1569,-2.007812681676704,0
1951,1576,-5.0425924616152225,0
2272,1578,-0.004659229731365559,1
6990,1579,-0.0052293129642965825,1
2852,1589,-1.1107877242860654e-06,1
2576,1598,-0.2304642200061656,1
2833,1637,-4.670591615898003,0
989,1642,-0.00036515909940749113,1
6660,1643,-2.6035359093781e-05,1
8393,1649,-6.397987978350061e-05,1
3767,1653,-0.08037658285938516,1
521,1658,-3.9838018077522888,0
4231,1672,-3.700809832459565,0
2910,1682,-4.9927783370570226e-05,1
3632,1694,-2.0109582101279164,0
5365,1698,-2.6785725032393968,0
6592,1734,-6.969448957180513,0
5235,1736,-6.767216215363773,0
5482,1743,-12.246024481266089,0
5414,1746,-6.924580658188408,0
1114,1749,-6.83214762060744,0
6493,1756,-8.462655956380791,0
8292,1763,-5.49716842335271,0
8504,1768,-9.65821123491642,0
1059,1793,-2.4557381110939833e-05,1
8171,1794,-4.747131348072324,0
4331,1823,-4.831582530150908,0
7316,1827,-10.170480877012775,0
3037,1829,-0.0147856659446376,1
6232,1835,-6.780581311518613,0
1376,1842,-11.357965665005569,0
101,1845,-0.6467307606039923,0
5144,1854,-1.987192439392428,0
2203,1875,-1.103419166352074,0
6560,1892,-10.609027550442775,0
7856,1894,-2.5996433112681667,0
359,1896,-5.229629141893107,0
4822,1924,-0.001120487087780502,1
5626,1943,-0.6854467372707442,1
8282,1953,-1.8623310120187242e-05,1
8250,1954,-6.365030745334655,0
5762,1956,-9.408775420097436,0
6914,1962,-5.681461779746594,0
8188,1972,-11.549244912365506,0
1367,1974,-5.227481876004588,0
4764,1975,-0.0009122557388340726,1
317,2139,-8.667136348387869,0
20,2146,-7.181459708979316,0
6926,2153,-6.999567560359142,0
6742,2156,-6.371197387511855,0
4542,2158,-0.0012209168119864525,1
5026,2165,-0.00021710060480494331,1
4753,2168,-8.492003141590706,0
7817,2169,-0.0005451271082985909,1
3911,2185,-1.948375528860781,0
2629,2194,-4.770807990465371,0
3052,2315,-8.900808098538084,0
5537,2316,-6.328686114270577,0
2836,2317,-3.2782569153594465e-05,1
8216,2351,-0.002319432847263787,1
6360,2358,-5.2640826903737185e-05,1
8112,2365,-8.265925327307428,0
8197,2367,-7.230818408125144,0
7191,2371,-0.0260860697951773,1
5902,2374,-0.10274395906282044,1
5725,2381,-1.2262253898432673e-05,1
4827,2384,-4.0257911827414175,0
2725,2385,-6.56015986551963,0
7672,2389,-5.666153182174763e-07,1
2136,2413,-4.29816779775096,0
3036,2431,-0.00026900007117696746,1
5980,2435,-0.00012761859766350844,1
3802,2439,-3.579189130512781,0
4740,2456,-7.901613977894305,0
1396,2457,-0.014788232797055585,1
2611,2459,-2.9747125234550316,0
4665,2461,-7.829282267623955,0
1959,2467,-2.3211138427690985,0
5228,2471,-6.957445375216088,0
2755,2475,-4.199040594499024,0
75,2476,-5.102652631974099,0
8170,2481,-0.0008149428339087009,1
7255,2483,-6.7375145992764285,0
236,2485,-7.766044780573265,0
59,2497,-7.9870550673397585,0
692,2519,-2.301576260905391,0
5336,2536,-4.860668779572333,0
6628,2537,-6.148347803569063,0
5750,2538,-6.659218541330503,0
5939,2543,-6.641433070198419,0
1706,2548,-9.434104991663393,0
5298,2561,-0.0001407098845715629,1
2691,2571,-9.946642812166415,0
6609,2576,-7.943040333032477,0
3893,2581,-0.0061287974766053785,1
8561,2593,-6.7880545242260055,0
2800,2594,-0.002249589517963696,1
5963,2613,-2.9001451933975737,0
6551,2614,-3.3978668574597983,0
3413,2631,-4.460874705283802,0
6871,2647,-0.2538615052133528,1
3072,2653,-0.003593657816247415,1
6118,2654,-6.165880677738694,0
5224,2657,-0.0034674275274929073,1
3575,2674,-0.01138104230536236,1
8073,2687,-7.043153657557413,0
214,2691,-5.37727064721448,0
7151,2716,-3.4257483735405803,0
2872,2718,-4.565938164728978,0
7258,2719,-0.0022642595854158354,1
6370,2735,-4.018779257067892,0
2701,2761,-8.55882854621032,0
2986,2763,-6.377806712422244,0
4282,2764,-7.498755923511897,0
7575,2768,-2.992530660762149e-05,1
899,2769,-6.566025724488375,0
2790,2793,-0.3997563949443966,1
1073,2795,-6.0163928801851965,0
5194,2814,-0.9262328731763136,1
8357,2815,-1.4982426701405903e-08,1
5647,2816,-0.004935260357297018,1
6532,2831,-8.406797063538417e-06,1
805,2841,-6.927499421871433,0
7129,2845,-2.6419279676078413,0
380,2849,-0.0034845095801479065,1
7168,2853,-4.720005781824455e-05,1
3735,2854,-0.0003397503250559481,1
5596,2857,-2.6070594535719954e-05,1
8401,2863,-1.6448684639620267e-05,1
7389,2867,-7.102374285302073,0
3305,2876,-0.00015717415183060494,1
6032,2891,-0.0007974324499530077,1
4344,2894,-6.32715268378946,0
6345,2914,-5.998471683111568,0
1443,2917,-1.6940057672665536e-05,1
3082,2918,-5.1087612488177605,0
1945,2935,-5.435291590762914,0
3346,2943,-0.405625581717964,1
1450,2945,-2.2675753665760268,0
6237,2946,-3.1165055178263774,0
980,2947,-8.867297621481741,0
7185,2951,-4.616071000404784,0
2666,2956,-5.571509911712849,0
5557,2958,-4.754345804309337,0
2475,2965,-0.013173980420743138,1
6290,2967,-0.05630932204302805,1
