,id,proba,label
3405,1235,-6.031714959438735e-05,1
7288,1236,-9.279388745625813,0
6016,1243,-8.252517382303871,0
7653,1245,-1.8956669966379804,0
8295,1247,-0.0003984350313051738,1
3519,1256,-0.002157950043207772,1
7276,1258,-1.5894568150542907e-07,1
3780,1264,-11.213921864827473,0
5713,1269,-2.936426020975584e-05,1
1264,1274,-4.8544464111328125,0
1019,1275,-3.380635102589925,0
3243,1276,-8.428177515665691,0
1734,1293,-8.448562939961754,0
2733,1295,-4.8357267890726974e-05,1
2190,1327,-6.4679605166117335,0
6771,1329,-6.524693489074706,0
6950,1349,-0.004306850964591527,1
2771,1379,-7.750814914703369,0
7403,1382,-6.6316237449646,0
347,1389,-5.820874214172362,0
490,1392,-5.7671141624450675,0
5836,1395,-0.012314505457955724,1
5171,1423,-7.322110652923584,0
8230,1436,-3.401354782302708e-05,1
7624,1439,-7.103330612182617,0
4953,1452,-7.663311640421549,0
5774,1465,-4.466894070307413,0
5246,1467,-0.0003153963310372395,1
998,1468,-2.573003490765889,0
3158,1469,0.0,1
5122,1472,-6.158035437266031,0
778,1475,-0.0004120957164559513,1
7656,1476,-7.502235571543375,0
4328,1483,-3.222753485043844,0
3542,1487,-1.112619048152889e-06,1
610,1492,-6.083355585734049,0
3709,1497,-0.8709635337193806,0
5393,1498,-6.650459607442219,0
495,1524,-3.0874632994333897,0
655,1526,-3.884539206822713,0
6729,1527,-4.003847519556681,0
6791,1529,-8.555545012156168,0
4187,1546,-3.2981105467418583e-06,1
8159,1547,-4.150453885396321,0
8270,1548,-1.000676219041149,1
7975,1564,-9.601197878519695,0
1667,1568,-0.03542844904586673,1
38,1569,-1.342096745967865,0
1951,1576,-5.813713232676188,0
2272,1578,-0.0025808924401644613,1
6990,1579,-0.0029828784754499797,1
2852,1589,-2.702068655935363e-06,1
2576,1598,-2.3020056263873507,1
2833,1637,-4.945788701375326,0
989,1642,-0.0001885593228507787,1
6660,1643,-1.4940738158960205e-05,1
8393,1649,-2.5986723661238407e-05,1
3767,1653,-0.24745413839506605,1
521,1658,-4.0183111031850185,0
4231,1672,-4.355001846949259,0
2910,1682,-2.4238672267529186e-05,1
3632,1694,-3.1944846312204995,0
5365,1698,-3.099684953689575,0
6592,1734,-7.383835474650064,0
5235,1736,-6.498999595642089,0
5482,1743,-11.782974243164062,0
5414,1746,-7.3742793401082345,0
1114,1749,-7.007518450419108,0
6493,1756,-9.022653897603352,0
8292,1763,-5.729258696238199,0
8504,1768,-10.407293319702148,0
1059,1793,-1.5457295868751927e-05,1
8171,1794,-3.0879474083582563,0
4331,1823,-4.97453753153483,0
7316,1827,-10.923280080159504,0
3037,1829,-0.036966040963307016,1
6232,1835,-6.938912709554035,0
1376,1842,-10.960178693135578,0
101,1845,-1.0819134364525476,0
5144,1854,-2.859865427017212,0
2203,1875,-2.2637425462404885,0
6560,1892,-10.806184768676756,0
7856,1894,-2.508373975753784,0
359,1896,-3.686702887217203,0
4822,1924,-0.0005895646900171414,1
5626,1943,-1.3104896148045857,1
8282,1953,-2.316604635173765e-05,1
8250,1954,-5.643691539764403,0
5762,1956,-10.295082092285156,0
6914,1962,-6.32362922032674,0
8188,1972,-11.076100667317707,0
1367,1974,-5.5456887880961085,0
4764,1975,-0.0004862650772944714,1
317,2139,-9.807660738627114,0
20,2146,-6.158562183380128,0
6926,2153,-7.6724618275960275,0
6742,2156,-6.812840143839518,0
4542,2158,-0.0011562474149495,1
5026,2165,-0.00025705894707546883,1
4753,2168,-9.408390998840332,0
7817,2169,-0.00033502202616849286,1
3911,2185,-1.6968432664871211,0
2629,2194,-4.860414346059163,0
